snapped_at,price,market_cap,total_volume
2016-07-01T00:00:00.000Z,0.00907914622832775,320911247.7620755,1327084.9881025807
2016-07-02T00:00:00.000Z,0.00896873379958358,317008613.15462965,1094549.1208653958
2016-07-03T00:00:00.000Z,0.008858002525445503,313094708.64683986,722465.5966637282
2016-07-04T00:00:00.000Z,0.009300865186468697,328748119.83353937,1164006.595085554
2016-07-05T00:00:00.000Z,0.008997901169836814,318039562.2049599,801726.6761930942
2016-07-06T00:00:00.000Z,0.008912376108971637,315016595.8040512,799341.3767735483
2016-07-07T00:00:00.000Z,0.008812390351852432,311482502.0392161,1053432.7417935547
2016-07-08T00:00:00.000Z,0.008856985463290218,313058759.5964451,799438.0040955375
2016-07-09T00:00:00.000Z,0.008831353412079914,312152769.8337804,764772.4898769254
2016-07-10T00:00:00.000Z,0.008814987552301092,311574302.61337876,755657.208793811
2016-07-11T00:00:00.000Z,0.008665234445437318,306281133.5012923,959300.2296963348
2016-07-12T00:00:00.000Z,0.008371872228250176,295911960.8063929,1264196.002466957
2016-07-13T00:00:00.000Z,0.008457485097926003,298938030.8950582,1234999.3932393831
2016-07-14T00:00:00.000Z,0.00837195535768433,296687510.6566651,913120.0580842844
2016-07-15T00:00:00.000Z,0.008498468921860377,301170930.93496853,998804.9938881737
2016-07-16T00:00:00.000Z,0.008672948132474283,307354170.1481191,862219.317429185
2016-07-17T00:00:00.000Z,0.008602402194611055,304854145.0288535,712046.3260512773
2016-07-18T00:00:00.000Z,0.00856156459616744,303406931.6950758,590592.2443392605
2016-07-19T00:00:00.000Z,0.008526358502369697,302159289.0736647,722000.380278078
2016-07-20T00:00:00.000Z,0.008557753109512246,303271859.24911577,923182.4715807141
2016-07-21T00:00:00.000Z,0.00855915895888253,304279322.3460207,1086063.3559235423
2016-07-22T00:00:00.000Z,0.008442556621972387,300134092.6301781,1034670.4634456066
2016-07-23T00:00:00.000Z,0.008449409561916503,300377715.6230785,496476.8060371699
2016-07-24T00:00:00.000Z,0.008428385306650524,299630300.34829587,431910.2143404706
2016-07-25T00:00:00.000Z,0.00836126108489161,297244024.6864085,1175876.7910229987
2016-07-26T00:00:00.000Z,0.007983077797055167,283799554.8385805,2058090.6765994688
2016-07-27T00:00:00.000Z,0.007962985257076094,283085262.1751994,1817449.979619385
2016-07-28T00:00:00.000Z,0.007953945932174708,282763872.8131,1703973.8104212438
2016-07-29T00:00:00.000Z,0.008041967505598283,285893051.86518186,1017802.3020587394
2016-07-30T00:00:00.000Z,0.008052595828578151,286270890.2101898,591436.9880688841
2016-07-31T00:00:00.000Z,0.00784028180160999,278723097.3247473,849889.9698487008
2016-08-01T00:00:00.000Z,0.007843902035385094,278851797.13380647,1267296.6008887496
2016-08-02T00:00:00.000Z,0.0074709767690489155,265594252.579409,1995441.1932918793
2016-08-03T00:00:00.000Z,0.007449062496651325,264815197.17899978,2116624.8199400483
2016-08-04T00:00:00.000Z,0.007626448241307471,271180356.1842053,1309655.6912069535
2016-08-05T00:00:00.000Z,0.008456383387224847,300691093.208637,928238.9898592756
2016-08-06T00:00:00.000Z,0.008335653820483804,296398205.36951524,2836064.4853080567
2016-08-07T00:00:00.000Z,0.008116468617226353,288604443.5017401,1712302.883900332
2016-08-08T00:00:00.000Z,0.00787060964445479,279862218.851718,948189.0359337241
2016-08-09T00:00:00.000Z,0.008038646476650962,285837252.9128174,1430271.644717048
2016-08-10T00:00:00.000Z,0.008037040598969581,285780151.3017075,1143237.5950736818
2016-08-11T00:00:00.000Z,0.00803695241946813,285778331.2332923,528316.0136096412
2016-08-12T00:00:00.000Z,0.00801344895214226,284942593.8393128,843866.7570247046
2016-08-13T00:00:00.000Z,0.007957459110900093,282951704.43732446,786156.1861834918
2016-08-14T00:00:00.000Z,0.007826544769067769,278296646.1278188,648626.3669276919
2016-08-15T00:00:00.000Z,0.007856798797705802,279372420.2976793,633352.5146815499
2016-08-16T00:00:00.000Z,0.007974182354663665,283546350.32374084,1609036.1798177892
2016-08-17T00:00:00.000Z,0.00797682243759305,283640226.5164193,1784771.5905048624
2016-08-18T00:00:00.000Z,0.007943092647371303,282472845.47246975,1392760.9157200253
2016-08-19T00:00:00.000Z,0.007999964620387441,284495330.76361364,1779208.910133423
